frame,mother,patient,therapist
425,5.34942e-06,0.00185297,0.00418205
426,2.13977e-05,0.00121708,0.0035147
427,0,0.000902552,0.00289184
428,1.06988e-05,0.00138118,0.00324776
429,1.60483e-05,0.000875202,0.00338123
430,1.60483e-05,0.00106665,0.00253593
431,1.06988e-05,0.00203074,0.00338123
432,5.34942e-06,0.00297432,0.00253593
433,0,0.00614009,0.00289184
434,5.34942e-06,0.00782895,0.00311429
435,0,0.00678965,0.0035147
436,5.34942e-06,0.00783579,0.00262491
437,1.06988e-05,0.0125947,0.00427103
438,5.34942e-06,0.0191245,0.00471593
439,2.67471e-05,0.0198903,0.00311429
440,1.60483e-05,0.0167451,0.00422654
441,0.000208628,0.0131827,0.0030698
442,0.000609834,0.00931269,0.00342572
443,0.000219326,0.00722041,0.00476042
444,0.000123037,0.0116785,0.0035147
445,0.000192579,0.0176408,0.00204654
446,0.000320965,0.0205741,0.00373715
447,0.000363761,0.0185023,0.00333674
448,8.55908e-05,0.0166288,0.00298082
449,5.34942e-05,0.0146118,0.00364817
450,0,0.0125058,0.00315878
451,0,0.0107554,0.00235797
452,3.7446e-05,0.00669393,0.00320327
453,0.000139085,0.00352816,0.00476042
454,0.000299568,0.00585975,0.0026694
455,0.000994993,0.00667341,0.00338123
456,0.000208628,0.00466318,0.00355919
457,1.06988e-05,0.00160682,0.0022245
458,2.67471e-05,0.00296064,0.00427103
459,1.06988e-05,0.0049572,0.0030698
460,0,0.00544266,0.00364817
461,5.88437e-05,0.0065982,0.00369266
462,0.000219326,0.00754178,0.00289184
463,0.000283519,0.00735716,0.00271389
464,0.000208628,0.00753494,0.00289184
465,5.34942e-05,0.0082939,0.0026694
466,3.7446e-05,0.00771955,0.00315878
467,1.60483e-05,0.0080751,0.00347021
468,1.06988e-05,0.00631102,0.00231348
469,5.34942e-06,0.00280338,0.00289184
470,5.34942e-06,0.00160682,0.00329225
471,5.34942e-06,0.000417088,0.00293633
472,0,0.000376063,0.00355919
473,5.34942e-06,0.000348713,0.00458246
474,0,0.0001094,0.0044045
475,0,0.000143588,0.00355919
476,0,0.000642726,0.00324776
477,5.34942e-06,0.000273501,0.00315878
478,0,0.000471788,0.00262491
479,0,0.00186664,0.0048494
480,0,0.000799989,0.00315878
481,0,0.000553839,0.00226899
482,0,0.000868364,0.00360368
483,0,8.20502e-05,0.00302531
484,0,7.52126e-05,0.00431552
485,0,0.000547001,0.0052943
486,5.34942e-06,0.000143588,0.00400409
487,5.34942e-06,0.0001641,0.00320327
488,1.60483e-05,0.000471788,0.00329225
489,0,0.000396576,0.00480491
490,5.34942e-06,0.000116238,0.00258042
491,0,0.000198288,0.00413756
492,5.34942e-06,0.000547001,0.00436001
493,0,0.000321363,0.0107221
494,5.34942e-06,0.000259826,0.0181074
495,1.06988e-05,0.000991439,0.0207323
496,0,0.00177775,0.0227788
497,0,0.00181194,0.0249588
498,1.60483e-05,0.00104614,0.0233572
499,5.34942e-06,0.00132648,0.0202874
500,1.06988e-05,0.00162049,0.0170396
