frame,patient,mother,therapist
366,0.000631851,4.45789e-05,0.00319023
367,0.000736138,6.36841e-06,0.00319023
368,0.000871096,1.27368e-05,0.00410172
369,0.000527565,2.54737e-05,0.00355483
370,0.000453952,2.54737e-05,0.00309908
371,0.000668658,0,0.00241546
372,0.000190169,0,0.00273448
373,9.20172e-05,6.36841e-06,0.00319023
374,0.000318993,5.09473e-05,0.00496764
375,4.29414e-05,0,0.00442075
376,5.52103e-05,1.91052e-05,0.00391942
377,0.000128824,2.54737e-05,0.00282563
378,0.00046622,2.54737e-05,0.0032358
379,0.000662524,0,0.00282563
380,0.00185261,2.54737e-05,0.0037827
381,0.00316539,6.36841e-06,0.00401057
382,0.00472968,1.91052e-05,0.00405615
383,0.00514069,0,0.00387385
384,0.00457632,3.18421e-05,0.00232431
385,0.00427573,2.54737e-05,0.00300793
386,0.00724482,1.91052e-05,0.00478534
387,0.00901155,1.91052e-05,0.00446632
388,0.0101894,1.91052e-05,0.0034181
389,0.00913424,1.27368e-05,0.00246103
390,0.0083981,3.18421e-05,0.00291678
391,0.00707919,1.27368e-05,0.00273448
392,0.00652095,1.27368e-05,0.00373713
393,0.00810365,2.54737e-05,0.00487649
394,0.00975382,6.36841e-05,0.00446632
395,0.00987038,0.000140105,0.00460304
396,0.00616515,0.000121,0.00154954
397,0.00568666,0.00015921,0.00332695
398,0.0109562,0.00052221,0.00460304
399,0.0127659,0.000757841,0.00451189
400,0.0107599,0.00076421,0.00387385
401,0.00870483,0.000694157,0.00273448
402,0.00772331,0.000184684,0.00328138
403,0.00771104,4.45789e-05,0.00268891
404,0.0062449,5.09473e-05,0.0043296
405,0.00353346,1.91052e-05,0.00387385
406,0.00317766,3.18421e-05,0.00451189
407,0.00294455,0,0.00464862
408,0.00217161,1.91052e-05,0.00250661
409,0.00288321,6.36841e-06,0.00259776
410,0.0041101,1.27368e-05,0.00442075
411,0.00510389,0,0.00423845
412,0.00347212,6.36841e-06,0.00428402
413,0.00194463,3.18421e-05,0.00300793
414,0.00128211,3.82105e-05,0.0041473
415,0.0015827,0,0.00241546
416,0.00192009,3.82105e-05,0.00346368
417,0.00220228,1.91052e-05,0.00328138
418,0.00258262,5.09473e-05,0.00373713
419,0.00220841,3.18421e-05,0.00382827
420,0.00431254,1.91052e-05,0.00182299
421,0.00771104,1.27368e-05,0.00259776
422,0.00842878,3.82105e-05,0.00464862
423,0.00503641,5.73157e-05,0.00464862
424,0.00179127,1.91052e-05,0.00337253
425,0.00347212,2.54737e-05,0.00268891
426,0.00403035,3.18421e-05,0.00332695
427,0.00127597,3.18421e-05,0.00227873
428,0.00174833,1.27368e-05,0.0037827
429,0.00404876,2.54737e-05,0.00314465
430,0.00420825,2.54737e-05,0.00405615
431,0.00309178,3.18421e-05,0.00369155
432,0.00287707,3.18421e-05,0.00241546
433,0.00395061,6.36841e-06,0.00250661
434,0.00398128,1.27368e-05,0.00391942
435,0.00681541,2.54737e-05,0.00405615
436,0.00947164,6.36841e-06,0.00337253
437,0.0124591,1.27368e-05,0.00332695
438,0.0153178,1.27368e-05,0.0041473
439,0.0167594,6.36841e-06,0.00209644
440,0.0195629,6.36841e-06,0.0034181
441,0.020391,6.36841e-06,0.00350925
442,0.0270715,2.54737e-05,0.003965
443,0.0311754,3.18421e-05,0.00296236
444,0.0333838,6.36841e-06,0.00205086
445,0.0312368,1.91052e-05,0.00259776
446,0.030059,2.54737e-05,0.00469419
447,0.0354144,2.54737e-05,0.00487649
448,0.0375921,1.27368e-05,0.00369155
